"Date","Open","High","Low","Close*","Adj Close**","Volume"
"2022-02-07",4505.75,4521.86,4471.47,4483.87,4483.87,3291600000
"2022-02-04",4482.79,4539.66,4451.50,4500.53,4500.53,3673700000
"2022-02-03",4535.41,4542.88,4470.39,4477.44,4477.44,3596830000
"2022-02-02",4566.39,4595.31,4544.32,4589.38,4589.38,3777170000
"2022-02-01",4519.57,4550.49,4483.53,4546.54,4546.54,3796450000
"2022-01-31",4431.79,4516.89,4414.02,4515.55,4515.55,4001950000
"2022-01-28",4336.19,4432.72,4292.46,4431.85,4431.85,3936030000
"2022-01-27",4380.58,4428.74,4309.50,4326.51,4326.51,4074330000
"2022-01-26",4408.43,4453.23,4304.80,4349.93,4349.93,4046270000
"2022-01-25",4366.64,4411.01,4287.11,4356.45,4356.45,3989420000
"2022-01-24",4356.32,4417.35,4222.62,4410.13,4410.13,5172540000
"2022-01-21",4471.38,4494.52,4395.34,4397.94,4397.94,3945810000
"2022-01-20",4547.35,4602.11,4477.95,4482.73,4482.73,3473060000
"2022-01-19",4588.03,4611.55,4530.20,4532.76,4532.76,3387370000
"2022-01-18",4632.24,4632.24,4568.70,4577.11,4577.11,3324960000
"2022-01-14",4637.99,4665.13,4614.75,4662.85,4662.85,3483530000
"2022-01-13",4733.56,4744.13,4650.29,4659.03,4659.03,3539830000
"2022-01-12",4728.59,4748.83,4706.71,4726.35,4726.35,3060040000
"2022-01-11",4669.14,4714.13,4638.27,4713.07,4713.07,3421600000
